Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP;FGV-EAESP
152;FACULDADE DE CIÊNCIAS CONTÁBEIS;FACIC
158;CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO;CBM-UniCBE
159;FACULDADE NOVA ROMA CARUARU;FNR CARUARU
160;FACULDADE FRASSINETTI DO RECIFE;FAFIRE
161;CENTRO UNIVERSITÁRIO ASSUNÇÃO;UNIFAI
162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO;FEBASP
163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA
165;UNIVERSIDADE VEIGA DE ALMEIDA;UVA
166;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;
167;UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP
170;FUNVIC - FACULDADE FUNVIC DE MOCOCA; 
171;FACULDADE DE DIREITO DO SUL DE MINAS;FDSM
176;UNIVERSIDADE CASTELO BRANCO;UCB
192;FACULDADE SOUZA MARQUES;FSM
195;FACULDADE PRESBITERIANA MACKENZIE RIO;
197;FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ;FESPPR
200;FACULDADE CÁSPER LÍBERO;FCL
202;FACULDADE DO RIO DE JANEIRO;
203;UNIVERSIDADE SÃO JUDAS TADEU;USJT
206;Centro Universitário Católico Ítalo Brasileiro;UNIÍTALO
207;CENTRO UNIVERSITÁRIO MOURA LACERDA;CUML
208;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP
213;CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO;FECAP
214;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG;FEAMIG
216;CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX;CEUNIH
217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE;UNIFAE
219;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL;FAECA DOM BOSCO
220;FACULDADE SÃO JUDAS TADEU;FSJT
221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL
222;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;UNIFEV
224;Centro Universitário FMABC;FMABC
225;FACULDADE DE SANTO ANDRÉ;
226;CENTRO UNIVERSITÁRIO LUSÍADA;UNILUS
227;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS
