Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
746;UNIVERSIDADE REGIONAL DO CARIRI;URCA
749;CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA;CESVALE
750;UNIVERSIDADE DE GURUPI;UnirG
752;FACULDADE DE PARÁ DE MINAS;FAPAM
753;FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL;FACHUSC
755;CENTRO DE ENSINO SUPERIOR DE JATAÍ;CESUT
756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI
757;Centro Universitário da Amazônia;Unama
760;FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO;FCHPE
763;CENTRO UNIVERSITÁRIO DE GOIÂNIA;UNICEUG
764;FACULDADE PINHEIRO GUIMARÃES;FAPG
769;FACULDADES INTEGRADAS DE NAVIRAÍ;FINAV
778;FACULDADE INTEGRADA DOS VALES;FACULDADE FADIVALES
779;FACULDADE DE PONTA PORÃ;FAP
780;UNIVERSIDADE DE CUIABÁ;UNIC/UNIME
781;FACULDADE ANHANGUERA DE RONDONÓPOLIS;FAR
785;FACULDADE DE EDUCAÇÃO DE TANGARÁ DA SERRA;
788;FACULDADE DE RONDÔNIA;FARO
789;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR
790;Faculdade Israelita de Ciências da Saúde Albert Einstein;FICSAE
792;CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ;CESUPA
793;Centro Universitário Estácio de São Paulo;ESTÁCIO SÃO PAULO
794;CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE;UNIVAG
795;FACULDADES INTEGRADAS DE DIAMANTINO;FID
796;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO;EDUVALE
797;Faculdade Favoo coop;
798;FACULDADES INTEGRADAS DE ARACRUZ;FAACZ
802;CENTRO UNIVERSITÁRIO UNICARIOCA;UNICARIOCA
809;FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE;FADILESTE
810;CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE;CTESOP
823;UNIVERSIDADE CEUMA;UNICEUMA
824;CENTRO UNIVERSITÁRIO DE GOIATUBA;UNICERRADO
825;FACULDADE PRESBITERIANA GAMMON;FAGAMMON
826;CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE;UNIDESC
828;FACULDADE DE SÃO LOURENÇO;FASAMA
829;UNIVERSIDADE ESTADUAL DO TOCANTINS;UNITINS
830;UNIVERSIDADE FEDERAL DO AMAPÁ;UNIFAP
832;FACULDADE ARQUIDIOCESANA DE CURVELO;FAC
838;FACULDADE DE CIÊNCIAS TECNOLÓGICAS DE FORTALEZA;FCTFOR
843;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI;FATEB
845;FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA;FAC-FEA
847;FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS;FPPD
849;FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA;FAJE
852;FIAP - Centro Universitário;
861;CENTRO DE ENSINO SUPERIOR DO AMAPÁ;CEAP
862;FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE;FESCG
873;FACULDADES UNIFICADAS DE FOZ DO IGUAÇU;UNIFOZ
874;FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA;FESAV
877;FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU;FEPI
878;Centro Universitário Católica do Leste de Minas Gerais ;UNILESTE
881;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS;IMESA
882;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI;IMESB
886;FACULDADE DE HORTOLÂNDIA;FACH
890;ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO;EG
898;Centro Universitário Unisan;UNISAN
900;FACULDADE UNIABRANGE;
905;FACULDADE ESCOLA PAULISTA DE DIREITO;FACEPD
908;FACULDADE ALAGOANA DE ADMINISTRAÇÃO;FAA
909;Faculdade Fernanda Bicchieri;
910;FACULDADE SANTA LÚCIA;FCACSL
913;FACULDADES INTEGRADAS DE PARANAÍBA - FIPAR;FIPAR
915;FACULDADE DE ADMINISTRAÇÃO DE FÁTIMA DO SUL;FAFS
916;FACULDADE ESTÁCIO DE TERESINA;ESTÁCIO TERESINA
918;CENTRO UNIVERSITÁRIO UNIVEL;
922;FACULDADE REGES DE DRACENA;
923;CENTRO UNIVERSITÁRIO SÃO ROQUE;UNISÃO ROQUE
926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;
939;FACULDADE CATÓLICA DE ANÁPOLIS;CATÓLICA DE ANÁPOLIS
940;Faculdades Magsul;FAMAG
944;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO;ESPM
945;Faculdade Funorte de Januária;
952;UNIVERSIDADE SANTA CECÍLIA;UNISANTA
953;UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES
954;Faculdade SNA Digital;SNA Digital
967;FACULDADE DE TECNOLOGIA DE TAQUARITINGA;FATEC/TQ
989;ESCOLA SUPERIOR EM MEIO AMBIENTE;ESMA
991;FACULDADE SENAI-CETIQT;SENAI-CETIQT
994;Faculdade de Duque de Caxias;FDC
997;Centro Universitário de Bauru;
1012;FACULDADE DO SERTÃO DO PAJEÚ;FASP
1014;INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC;BOM JESUS/IELUSC
1019;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU;FACTU
1021;FACULDADE DE CIÊNCIAS DE TIMBAÚBA;FACET
1027;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;UENF
1028;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS
1030;Centro Universitário IBMEC;IBMEC
1032;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;UNISAL
1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG
1038;FACULDADES INTEGRADAS DE TRÊS LAGOAS;AEMS
1041;UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES
1042;UNIVERSIDADE POSITIVO;UP
1043;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO;FHO
1045;CENTRO UNIVERSITÁRIO ANHANGÜERA;UNIFIAN
1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS;UNILAGO
1048;FACULDADE CAMPOS ELÍSEOS;FCE
1049;INSTITUTO DE ENSINO SUPERIOR FUCAPI;CESF
1051;FACULDADE DA SEUNE;SEUNE
1053;Centro Universitário de Excelência;UNEX
1055;Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador
1058;Centro Universitário Estácio da Bahia;Estácio Bahia
1059;Faculdade Multiversa de Fortaleza;
1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB
1063;Faculdade Doctum de Vila Velha;DOCTUM
1064;Faculdade Doctum de Vitória;DOCTUM
1067;FACULDADE DE JUSSARA;FAJ
1068;FACULDADE ALDETE MARIA ALVES;FAMA
1070;FACULDADE CNEC UNAÍ;
1071;Faculdade Nova Roma de Campo Grande;FNR - Campo Grande
1075;CENTRO UNIVERSITÁRIO - UNIESP;UNIESP
1076;FACULDADE CATÓLICA DA PARAÍBA;
1077;Centro Universitário Estácio do Recife;
1078;CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO;INTEGRADO
1079;FACULDADE MARINGÁ;CESPAR
1080;CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO;UNIFASE
1081;FACULDADE DE ENGENHARIA DE RESENDE;FER
1082;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;IFRN
1084;CENTRO UNIVERSITÁRIO CNEC DE BENTO GONÇALVES;
1085;FACULDADE METODISTA CENTENÁRIO;FMC
1087;CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO;
1090;FACULDADE SÃO LUÍS DE FRANÇA;FSLF
1092;FACULDADES INTEGRADAS DE BAURU;FIB
1096;FACULDADE DE PRESIDENTE EPITÁCIO - FAPE;FAPE
1100;Centro Universitário Carlos Drummond de Andrade;UniDrummond
1107;Centro Universitário Estácio do Ceará;Estácio Ceará
1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO
1115;FACULDADE SANTA TEREZINHA;CEST
1118;FACULDADE DE MIRASSOL;
1120;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;IF Fluminense
1122;FACULDADE REGES DE OSVALDO CRUZ;
1123;INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE SALVADOR;IESUS
1125;FACULDADES INTEGRADAS ESPÍRITA;FIES
1126;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;UNICENTRO
1128;UNIVERSIDADE DE ITAÚNA;UI
1129;CENTRO UNIVERSITÁRIO DO NORTE DE SÃO PAULO;UNORTE
1130;FACULDADE METODISTA DE CIÊNCIAS HUMANAS E EXATAS;METODISTA
1131;CENTRO UNIVERSITÁRIO SANTO AGOSTINHO;UNIFSA
1136;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE IGARASSU;FACIG
1141;CENTRO UNIVERSITÁRIO GAMA E SOUZA;
1142;FACULDADE DE DIREITO DE VITÓRIA;FDV
1143;Faculdade de Ciências de Timbaúba;FACET
1144;FACULDADE DE CIÊNCIAS HUMANAS;IMENSU
1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;CEUNSP
1151;FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE;FANESE
1153;UNIVERSIDADE CÂNDIDO MENDES;UCAM
1155;FACULDADE SALESIANA DE SANTA TERESA;FSST
1156;Faculdade CNEC Alberto Torres;
1157;ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS;ESFA
1159;CENTRO DE ENSINO SUPERIOR DE VITÓRIA;CESV
1160;Centro Universitário Cambury;UniCambury
1161;INSPER INSTITUTO DE ENSINO E PESQUISA;
1162;FACULDADE DE ALTA FLORESTA;FAF
1166;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA;IFPB
1170;Centro Universitário FAMEC;UNIFAMEC
1173;FACULDADE ANHANGUERA DE BRASÍLIA;Anhanguera DF
1174;FACULDADE DE SABARÁ;SOECS
1175;FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS;ESTÁCIO FARGS
1182;INSTITUTO DE ENSINO SUPERIOR DE AMERICANA;IESA
1185;CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE
1187;CENTRO UNIVERSITÁRIO MÓDULO;MÓDULO
1189;UNIVERSIDADE DO PLANALTO CATARINENSE;UNIPLAC
1190;FACULDADE INTEGRAL CANTAREIRA;F.I.C.
1191;INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA;IESF
1192;FACULDADE DE CIÊNCIAS DA SAÚDE DE SÃO PAULO;FACIS
1194;FACULDADE DE TECNOLOGIA DE PONTA PORÃ;FATEP
1195;FACULDADE SENAI DE TECNOLOGIA MECATRÔNICA;SENAI
1196;UNIVERSIDADE CESUMAR;UNICESUMAR
1202;Centro Universitário Santa Rita;UNIFASAR
1205;CENTRO UNIVERSITÁRIO FAEL;UNIFAEL
1219;INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR;IIES
1221;Escola Superior de Agronomia de Paraguaçu Paulista;ESAPP
1224;CENTRO UNIVERSITÁRIO DE JALES;UNIJALES
1225;CENTRO UNIVERSITÁRIO AMPARENSE;UNIFIA
1227;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE BARREIRAS;UNINASSAU
1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;UNIPINHAL
1231;FACULDADE CNEC SANTO ÂNGELO;
1232;CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;UNIANDRADE
1233;CENTRO UNIVERSITÁRIO UNIC;
1237;CENTRO UNIVERSITÁRIO NOSSA SENHORA APARECIDA;UNIFANAP
1239;FACULDADE PADRÃO;PADRAO
1240;FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO;PIO XII
1243;Faculdade Doctum de Serra;DOCTUM
1244;Centro Universitário Multivix Vitória;
1245;Faculdade de Castelo - Multivix Castelo;Multivix Castelo
1247;FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN;FACINAN
1248;FACULDADE DE PEDAGOGIA;ANAEC
1249;FACULDADE DE EDUCAÇÃO DE COSTA RICA;FECRA
1252;FACULDADE PROMOVE DE MINAS GERAIS;PROMOVE
1253;FACULDADE METODISTA GRANBERY;FMG
1255;Centro Universitário FBV Wyden;UniFBV Wyden
1256;FACULDADE DOM BOSCO;DOM BOSCO
1258;FACULDADE ANHANGUERA DE CASCAVEL;
1263;FACULDADE BEZERRA DE ARAÚJO;FABA
1264;CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE;UNI-RN
1266;FACULDADES INTEGRADAS URUBUPUNGÁ;FIU
1267;INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS;IESGF
1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE
1273;Centro Universitário Campo Limpo Paulista; UNIFACCAMP
1275;FACULDADE DO GUARUJÁ;FAGU
1276;INSTITUTO TAUBATÉ DE ENSINO SUPERIOR;I.T.E.S.
1279;FACULDADE DE ITÁPOLIS - FACITA;FACITA
1281;FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA;FAIT
1286;Faculdade de Tecnologia Senai Mario Amato ;SENAI
1290;Faculdade Álvares de Azevedo;FAATESP
1291;FACULDADE DE SANTO ANTONIO DA PLATINA;
1292;Centro Universitário de Adamantina;FAI
1294;Centro Universitário das Américas;CAM
1295;FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA;FAETI
1296;ESCOLA SUPERIOR DE MARKETING;ESM
1298;Faculdade Estácio de Alagoas - Estácio FAL;ESTÁCIO FAL
1299;FACULDADES INTEGRADAS DE FERNANDÓPOLIS;FIFE
1300;INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH;ITES
1301;INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR;IMMES
1302;FACULDADE BATISTA BRASILEIRA;FBB
1303;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IF Goiano
1304;FACULDADE DE RIBEIRÃO PIRES;
1305;FACULDADE ANHANGUERA DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP;
1307;FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL;FAEF
1308;FACULDADE NOVO MILÊNIO;FNM
1309;Faculdade Projeção de Taguatinga Norte;FAPRO
1310;FACULDADE DE AMERICANA;FAM
1311;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS;TREVISAN
1312;FACULDADES INTEGRADAS DE RONDONÓPOLIS;FAIR
1313;FACULDADE DE SUZANO;UNISUZ
1314;FACULDADE ABRANGES;
1317;Centro Universitário Sudoeste Paulista;UniFSP
1318;FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;
1319;FACULDADE TECSOMA;FATEC
1322;FACULDADE EDUVALE DE AVARÉ;EDUVALE
1325;FACULDADE DE APUCARANA;FAP
1326;Faculdade Multivix Serra;MULTIVIX SERRA
1327;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE;ESPM - POA
1328;Centro Universitário Uninovo;UNINOVO
1330;FACULDADE COTEMIG;COTEMIG
1334;CENTRO UNIVERSITÁRIO FACISA;UNIFACISA
1336;CENTRO UNIVERSITÁRIO ASSIS GURGACZ;FAG
1337;CENTRO UNIVERSITÁRIO MATER DEI;
1344;FACULDADE BORGES DE MENDONÇA;FBM
1345;FACULDADE ANHANGUERA DE OSASCO;
1346;FACULDADE BATISTA DE MINAS GERAIS;FBMG
1350;Centro Universitário Multiversa do Jaguaribe- UNIJAGUARIBE;UNIJAGUARIBE
1351;CENTRO UNIVERSITÁRIO SOCIESC;
1355;FACULDADES INTEGRADAS DE JAHU;FIJ
1356;CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL;UNIFUNEC
1357;INSTITUTO SUPERIOR DE EDUCAÇÃO DO RIO DE JANEIRO;ISERJ
1359;Faculdade Multivix Nova Venécia;MULTIVIX NOVA VENÉCI
1360;iCEV - Instituto de Ensino Superior;
1362;Centro Universitário Governador Ozanam Coelho;UNIFAGOC
1363;FACULDADE VISCONDE DE CAIRÚ;FAVIC
1364;Centro Universitário de Excelência de Vitória da Conquista;UNEX Conquista
1365;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;UNASP
1373;FACULDADE CASA BRANCA;FACAB
1374;FACULDADE DE GUARANTÃ DO NORTE; UNIFAMA
1375;FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA;FCARP
1379;Centro Universitário FAESA;
1381;Faculdade Martha Falcão Wyden;FMF Wyden
1382;Faculdades EST;EST
1383;FACULDADE NOVO HORIZONTE DE IPOJUCA;FNH
1384;FACULDADE SANTA HELENA;FSH
1385;FACULDADES INTEGRADAS IPEP;FIPEP
1386;FACULDADE ESAMC CAMPINAS;ESAMC
1387;FACULDADE PENTÁGONO - FAPEN;FAPEN
1388;CENTRO UNIVERSITÁRIO SUMARÉ;
1394;FACULDADE CASTRO ALVES;FCA
1395;FACULDADE DE CALDAS NOVAS;UNICALDAS
1396;Centro Universitário Dinâmica das Cataratas;UDC
1400;Centro Universitário SENAI Paraná;UniSENAI/PR
1401;FACULDADE ADELMAR ROSADO;FAR
1402;INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS;ICSH
1403;Faculdade Estácio de Pimenta Bueno;Estácio FAP
1404;FACULDADE DE PIRACANJUBA;FAP
1409;FACULDADE DO CENTRO LESTE;UCL
1411;FACULDADE DOIS DE JULHO;F2J
1412;FACULDADE ANHANGUERA DE JUNDIAÍ;
1413;FACULDADE DE PRIMAVERA;CESPRI
1414;Centro Universitário São Lucas Porto Velho;São Lucas PVH
1417;FACULDADE CNEC CAMPO LARGO;
1418;Centro Universitário Toledo Wyden;Unitoledo Wyden
1419;CENTRO UNIVERSITÁRIO CURITIBA;UNICURITIBA
1420;FACULDADES DE DRACENA;
1422;CENTRO UNIVERSITÁRIO DO NORTE;UNINORTE
1423;Faculdade Ideal Wyden;Faci Wyden
1424;FACULDADE PIO XII;PIO XII
1425;Faculdade Evoluir;FAEV
1426;INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA;ILES
1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;FSG
1428;INSTITUTO DE ENSINO SUPERIOR PLANALTO;IESPLAN
1429;FACULDADE BATISTA DO RIO DE JANEIRO;FABAT
1430;CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ
1432;FACULDADE BERTIOGA;FABE
1433;Faculdade Vilas Boas;FVB
1434;Centro Universitário de Itapira Uniesi;UNIESI
1436;ESCOLA SUPERIOR BATISTA DO AMAZONAS;ESBAM
1438;FACULDADES DE CAMPINAS;FACAMP
1440;INSTITUTO APHONSIANO DE ENSINO SUPERIOR;IAESUP
1441;FACULDADE DE TECNOLOGIA DO PIAUÍ;FATEPI
1443;FACULDADE VIVA VITÓRIA ;FAVIVA
1444;FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA;FIEL
1445;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA;CEUN-IMT
1446;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;UNIPLAN
1449;FACULDADE DE IBAITI;FEATI
1450;CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO;UNICERP
1452;FACULDADE ANHANGUERA DO MARANHÃO;
1454;FACULDADE DE ADMINISTRAÇÃO, SAÚDE E TECNOLOGIA;FAST
1455;FACULDADE SANTÍSSIMO SACRAMENTO;FSSS
1456;FACULDADE ANHANGUERA DE SERTÃOZINHO;FASERT
1459;CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO;UNIFUCAMP
1461;Centro Universitário Zarns - Salvador;ZARNS SALVADOR
1462;INSTITUTO PARAIBANO DE ENSINO RENOVADO;INPER
1463;FACULDADE DE BARUERI;FCGB
1465;FACULDADE DE RIBEIRÃO PRETO;AFARP
1468;FACULDADE ESAMC UBERLÂNDIA;ESAMC
1469;FACULDADE CESUSC;
1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI
1476;"FACULDADE DE COMUNICAÇÃO E DESIGN ""OSWALDO CRUZ""";
1477;FACULDADE ERICH FROMM;FACEF
1478;FACULDADE ANHANGUERA DE SÃO BERNARDO;
1484;FACULDADE IBMEC;IBMEC
1486;FACULDADE ESTÁCIO DE SÁ DE VITÓRIA;FESV
1487;CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO
1488;FACULDADE LUSÓFONA DO RIO DE JANEIRO;FL-RJ
1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA;UniFAJ
1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER
1492;FACULDADE ANHANGUERA DE UBERLÂNDIA;
1493;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA
1494;Centro Universitário Salesiano;UniSales
1496;FACULDADE ESTÁCIO DE SÁ DE VILA VELHA;FESVV
1497;FACULDADE DE ADMINISTRAÇÃO DE SANTA CRUZ DO RIO PARDO;FASC
1498;INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA;IESFAVI
1499;FACULDADE ANHANGUERA DE TABOÃO DA SERRA;FATS
1500;Faculdade UNIGUAÇU;FAC UNIGUAÇU
1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;
1504;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ;UNINASSAUMACEI?
1506;Faculdade CNEC Itajaí;
1507;FACULDADE PROJEÇÃO DE CEILÂNDIA;FAPRO
1508;Centro Universitário Metropolitano de Maringá;UNIFAMMA
1509;Centro Universitário Estácio de Belo Horizonte - Estácio BH;ESTÁCIO BH
1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;
1513;Faculdade Pitágoras Anhanguera de Teresina;
1514;CENTRO UNIVERSITÁRIO VALE DO CRICARÉ;UNIVC
1515;FACULDADE DE EDUCAÇÃO DE PORTO VELHO;UNIRON
1519;CENTRO UNIVERSITÁRIO DE PATO BRANCO;UNIDEP
1520;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS;FFIA
1521;FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM;ESTÁCIO BELÉM
1523;Centro de Ensino Superior CESUL;CESUL
1524;FACULDADE OLGA METTIG;FAMETTIG
1526;Faculdade SENAI São Paulo;SENAI SP
1530;Faculdade CNEC Joinville;
1532;FACULDADE DE SERTÃOZINHO;
1535;Faculdade de Pinhais;FAPI
1536;Centro Universitário UNIFATEB;
1538;CENTRO UNIVERSITARIO PROJEÇÃO;UNIPROJEÇÃO
1540;INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA;IESUR
1541;FACULDADE FLAMINGO;
1542;CENTRO UNIVERSITÁRIO GERALDO DI BIASE;UGB
1545;FACULDADE DE BOITUVA;FIB
1546;FACULDADE DE EDUCAÇÃO SÃO FRANCISCO;FAESF
1547;FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE;ESTÁCIO FMJ
1550;FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU;
1552;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE PARNAÍBA;UNINASSAU
1554;CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA;UNIVR
1556;CENTRO UNIVERSITÁRIO SETE DE SETEMBRO;UNI7
1557;UNIVERSIDADE FUMEC;FUMEC
1558;Faculdade Doctum de João Monlevade;DOCTUM
1559;CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO;UNESC
1561;FACULDADE ESAMC SOROCABA;ESAMC
1562;FACULDADE DE ILHA SOLTEIRA;FAISA
1563;CENTRO UNIVERSITÁRIO UNINOVAFAPI;UNINOVAFAPI
1564;FACULDADE SUL FLUMINENSE;FASF
1568;FACULDADES DOCTUM DE CARATINGA;DOCTUM 
1569;FACULDADES INTEGRADAS DE ARARAQUARA;FIAR
1572;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;FACISA
1573;CENTRO UNIVERSITÁRIO ALFREDO NASSER;UNIFAN
1574;FACULDADE EDUCACIONAL DE MEDIANEIRA;UDC Medianeira
1575;CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ
1576;INSTITUTO DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS;FASERRA
1577;FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ;FACINOR
1578;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;IFSul
1580;FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES;FACESA
1581;FACULDADE DE SANTA LUZIA;FACSAL
1583;FACULDADE DE TECNOLOGIA DE INDAIATUBA;FATEC-ID
1584;FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ;FATEC GT
1585;FACULDADE ENERGIA;
1586;UNIVERSIDADE DO VALE DO SAPUCAÍ;UNIVÁS
1587;FACULDADE ANHANGUERA DE TANGARÁ DA SERRA;FITS
1590;CENTRO UNIVERSITÁRIO ESTÁCIO DE SÃO LUÍS;
1591;FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ;ESTÁCIO MACAPÁ
1592;FACULDADE DE ODONTOLOGIA DE MANAUS;FOM
1596;FACULDADE DE CIÊNCIAS E EDUCAÇÃO DO ESPÍRITO SANTO;UNIVES
1597;FACULDADE SANTA FÉ;CESSF
1598;CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA;
1599;CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES;UNIPTAN
1600;Centro Universitário do Norte de Minas;Uninorte Minas
1601;FACULDADE CIDADE DE COROMANDEL;FCC
1605;FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA;FANOVA
1606;FACULDADES INTEGRADAS DE CASSILÂNDIA;FIC
1609;FACULDADE DOS CERRADOS PIAUIENSES;FCP
1610;FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA;FAETE
1611;FACULDADES FATIFAJAR - FATIFAJAR ARAPOTI;
1612;Faculdade Assis Gurgacz;FAG TOLEDO
1613;FACULDADE ADVENTISTA DO PARANÁ;FAP
1615;INSTITUTO SUPERIOR DO LITORAL DO PARANÁ;ISULPAR
1616;FACULDADE ANGEL VIANNA;FAV
1618;CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU;
1619;FACULDADE DE OLÍMPIA;
